t_s,tag,flight_mode,in_air,armed,battery_pct,voltage_v,lat,lon,abs_alt_m,health_gyro_cal,health_accel_cal,health_mag_cal,health_global_pos,health_local_pos,health_home_pos
0.00,IO_TRU_crash_after_U,HOLD,True,True,93.000,16.050,37.4118682,-121.9952862,38.145,True,True,True,True,True,True
6.27,IO_TRU_crash_after_U,TAKEOFF,True,True,83.000,15.870,37.4119754,-121.9952861,45.292,True,True,True,True,True,True
12.34,IO_TRU_crash_after_U,HOLD,True,True,73.000,15.690,37.4118616,-121.9952865,45.981,True,True,True,True,True,True
18.41,IO_TRU_crash_after_U,HOLD,True,True,63.000,15.511,37.4117335,-121.9950147,45.988,True,True,True,True,True,True
25.51,IO_TRU_crash_after_U,HOLD,True,True,53.000,15.331,37.4118771,-121.9949243,45.989,True,True,True,True,True,True
30.58,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4119794,-121.9950903,46.016,True,True,True,True,True,True
36.66,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4117699,-121.9951214,46.000,True,True,True,True,True,True
42.73,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4119740,-121.9948461,45.998,True,True,True,True,True,True
48.78,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4119802,-121.9946604,46.026,True,True,True,True,True,True
54.85,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4117350,-121.9946108,46.025,True,True,True,True,True,True
63.65,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4119842,-121.9945431,46.033,True,True,True,True,True,True
69.04,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4119009,-121.9943746,46.017,True,True,True,True,True,True
75.11,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4118534,-121.9945447,46.018,True,True,True,True,True,True
81.19,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4118339,-121.9943354,46.031,True,True,True,True,True,True
87.25,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4119092,-121.9942546,46.065,True,True,True,True,True,True
93.32,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4118433,-121.9941118,46.063,True,True,True,True,True,True
99.44,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4120020,-121.9940993,46.013,True,True,True,True,True,True
105.49,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4120028,-121.9940988,45.977,True,True,True,True,True,True
111.56,IO_TRU_crash_after_U,HOLD,True,True,50.000,15.300,37.4120027,-121.9940989,46.008,True,True,True,True,True,True
