t_s,tag,flight_mode,in_air,armed,battery_pct,voltage_v,lat,lon,abs_alt_m,health_gyro_cal,health_accel_cal,health_mag_cal,health_global_pos,health_local_pos,health_home_pos
0.00,IO_with_all_failures,HOLD,True,True,95.000,16.080,37.4118541,-121.9968233,38.128,True,True,True,True,True,True
5.23,IO_with_all_failures,TAKEOFF,True,True,85.000,15.900,37.4119223,-121.9969921,44.575,True,True,True,True,True,True
11.26,IO_with_all_failures,HOLD,True,True,75.000,15.720,37.4119617,-121.9969463,45.945,True,True,True,True,True,True
17.29,IO_with_all_failures,HOLD,True,True,65.000,15.540,37.4119618,-121.9969783,46.021,True,True,True,True,True,True
23.32,IO_with_all_failures,HOLD,True,True,55.000,15.360,37.4117704,-121.9969922,45.991,True,True,True,True,True,True
29.36,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4117466,-121.9970437,46.042,True,True,True,True,True,True
35.73,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4117463,-121.9968608,46.036,True,True,True,True,True,True
41.92,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4117691,-121.9967471,46.029,True,True,True,True,True,True
47.46,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4119586,-121.9967439,46.003,True,True,True,True,True,True
53.49,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4119618,-121.9965752,45.994,True,True,True,True,True,True
59.52,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4118223,-121.9965640,45.977,True,True,True,True,True,True
65.56,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4117460,-121.9965632,45.994,True,True,True,True,True,True
71.59,IO_with_all_failures,HOLD,True,True,50.000,15.300,37.4117456,-121.9967350,46.006,True,True,True,True,True,True
