t_s,tag,flight_mode,in_air,armed,battery_pct,voltage_v,lat,lon,abs_alt_m,health_gyro_cal,health_accel_cal,health_mag_cal,health_global_pos,health_local_pos,health_home_pos
0.00,star_5_with_failures,HOLD,True,True,93.000,16.050,37.4121572,-121.9988768,38.463,True,True,True,True,True,True
6.28,star_5_with_failures,TAKEOFF,True,True,83.000,15.870,37.4121795,-121.9988834,46.953,True,True,True,True,True,True
12.38,star_5_with_failures,HOLD,True,True,73.000,15.690,37.4122936,-121.9988760,64.269,True,True,True,True,True,True
18.52,star_5_with_failures,HOLD,True,True,63.000,15.510,37.4121939,-121.9988775,80.659,True,True,True,True,True,True
24.63,star_5_with_failures,HOLD,True,True,53.000,15.330,37.4120353,-121.9987592,83.745,True,True,True,True,True,True
30.76,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4119458,-121.9986842,84.188,True,True,True,True,True,True
34.84,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4120717,-121.9987972,84.262,True,True,True,True,True,True
40.99,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4121618,-121.9989133,84.242,True,True,True,True,True,True
47.12,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4122381,-121.9991918,84.215,True,True,True,True,True,True
53.26,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4121693,-121.9989253,84.233,True,True,True,True,True,True
59.41,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4122084,-121.9987027,84.234,True,True,True,True,True,True
65.53,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4122407,-121.9985542,84.251,True,True,True,True,True,True
71.67,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4121672,-121.9988330,84.237,True,True,True,True,True,True
77.80,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4120216,-121.9989931,84.270,True,True,True,True,True,True
83.91,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4119399,-121.9990755,84.254,True,True,True,True,True,True
90.06,star_5_with_failures,HOLD,True,True,50.000,15.300,37.4121261,-121.9989043,83.731,True,True,True,True,True,True
