t_s,tag,flight_mode,in_air,armed,battery_pct,voltage_v,lat,lon,abs_alt_m,health_gyro_cal,health_accel_cal,health_mag_cal,health_global_pos,health_local_pos,health_home_pos
0.00,write_IOTrust_with_mid_failures,HOLD,True,True,95.000,16.080,37.4119987,-121.9969163,38.028,True,True,True,True,True,True
5.25,write_IOTrust_with_mid_failures,TAKEOFF,True,True,85.000,15.900,37.4121068,-121.9969151,45.169,True,True,True,True,True,True
11.32,write_IOTrust_with_mid_failures,HOLD,True,True,75.000,15.720,37.4119963,-121.9969155,46.011,True,True,True,True,True,True
17.36,write_IOTrust_with_mid_failures,HOLD,True,True,65.000,15.540,37.4118637,-121.9967295,46.046,True,True,True,True,True,True
23.44,write_IOTrust_with_mid_failures,HOLD,True,True,55.000,15.360,37.4120061,-121.9965545,46.021,True,True,True,True,True,True
29.51,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121107,-121.9967212,46.028,True,True,True,True,True,True
35.56,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4119009,-121.9967519,46.043,True,True,True,True,True,True
41.64,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121048,-121.9964766,46.020,True,True,True,True,True,True
47.70,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121170,-121.9962861,46.023,True,True,True,True,True,True
53.78,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4118689,-121.9962406,46.002,True,True,True,True,True,True
59.83,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4120898,-121.9962078,45.955,True,True,True,True,True,True
65.93,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121081,-121.9960260,45.934,True,True,True,True,True,True
72.01,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4120035,-121.9961363,46.008,True,True,True,True,True,True
78.09,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4119010,-121.9960136,46.011,True,True,True,True,True,True
84.15,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121050,-121.9959345,46.039,True,True,True,True,True,True
90.23,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4118802,-121.9957797,46.009,True,True,True,True,True,True
96.29,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4120936,-121.9956965,46.012,True,True,True,True,True,True
102.34,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121325,-121.9955156,46.009,True,True,True,True,True,True
108.42,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4120139,-121.9955215,46.038,True,True,True,True,True,True
114.48,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4118940,-121.9956243,46.028,True,True,True,True,True,True
120.53,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4118874,-121.9954966,46.023,True,True,True,True,True,True
126.60,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4120980,-121.9953704,45.983,True,True,True,True,True,True
132.66,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4121330,-121.9952239,45.992,True,True,True,True,True,True
138.72,write_IOTrust_with_mid_failures,HOLD,True,True,50.000,15.300,37.4118997,-121.9952816,46.011,True,True,True,True,True,True
